Ticket_id,Charge_id
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,12
13,13
14,14
15,15
16,16
17,17
18,18
19,19
20,20
21,21
22,1
23,2
24,3
25,4
26,5
27,6
28,7
29,8
30,9
31,10
32,11
33,12
34,13
35,14
36,15
37,16
38,17
39,18
40,19
41,20
42,21
43,1
44,2
45,3
46,4
47,5
48,6
49,7
50,8
51,9
52,10
53,11
54,12
55,13
56,14
57,15
58,16
59,17
60,18
61,19
62,20
63,21
64,1
65,2
66,3
67,4
68,5
69,6
70,7
71,8
72,9
73,10
74,11
75,12
76,13
77,14
78,15
79,16
80,17
81,18
82,19
83,20
84,21
85,1
86,2
87,3
88,4
89,5
90,6
91,7
92,8
93,9
94,10
95,11
96,12
97,13
98,14
99,15
100,16
101,17
102,18
103,19
104,20
105,21
106,1
107,2
108,3
109,4
110,5
111,6
112,7
113,8
114,9
115,10
116,11
117,12
118,13
119,14
120,15
121,16
122,17
123,18
124,19
125,20
126,21
127,1
128,2
129,3
130,4
131,5
132,6
133,7
134,8
135,9
136,10
137,11
138,12
139,13
140,14